index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
1453,Bokura wa Minna Kawai-sou,Kimagure Orange☆Road,Touch,Urusei Yatsura,Ranma ½,Hiatari Ryoukou!,Yawara!,Love Hina,Aishang Ta de Liyou,Suzuka,"Yamazaki, Kazuo:Director","Annou, Takashi:Director","Yoshinaga, Naoyuki:Director","Shiba, Shigeharu:Sound Director",Maison Ikkoku,#357,#2505,"72,674",53,2,2,"['Yamazaki, Kazuo', 'Director'], ['Annou, Takashi', 'Director'], ['Yoshinaga, Naoyuki', 'Director'], ['Shiba, Shigeharu', 'Sound Director']","Type, 
TV","Episodes, 
  96","Status, 
  Finished Airing","Aired, 
  Mar 26, 1986 to Mar 2, 1988","Producers, 
Kitty Films,       Fuji TV","Licensors, 
VIZ Media","Studios, 
Studio Deen","Source, 
  Manga","Genres, 
ComedyComedy,         DramaDrama,         RomanceRomance","Theme, 
Adult CastAdult Cast","Demographic, 
SeinenSeinen","Duration, 
  25 min. per ep.","Rating, 
  R+ - Mild Nudity","Adaptation:: /manga/688/Maison_Ikkoku, Side story:: /anime/2459/Maison_Ikkoku__Bangai-hen_-_Ikkokujima_Nanpa_Shimatsuki, Sequel:: /anime/2460/Maison_Ikkoku__Kanketsu-hen, Summary:: /anime/3483/Maison_Ikkoku__Shiki_Utsuriyuku_Kisetsu_no_Naka_de, Prequel:: /anime/3484/Maison_Ikkoku__Prelude_-_Meguru_Haru_no_Sakura_no_You_ni"
86,Kikou Senki Dragonar,Macross 7,Citrus,Dead Heat,Juusenki L-Gaim,Kyoukai Senki,Kidou Senshi Gundam Unicorn,,,,"Yatate, Hajime:Producer","Tomino, Yoshiyuki:Director","Fujino, Sadayoshi:Sound Director","Takamatsu, Shinji:Episode Director",Kidou Senshi Gundam ZZ,#5656,#3331,"43,414",22,13,11,"['Yatate, Hajime', 'Producer'], ['Tomino, Yoshiyuki', 'Director'], ['Fujino, Sadayoshi', 'Sound Director'], ['Takamatsu, Shinji', 'Episode Director']","Type, 
TV","Episodes, 
  47","Status, 
  Finished Airing","Aired, 
  Mar 1, 1986 to Jan 31, 1987","Producers, 
Sotsu,       Nagoya Broadcasting Network","Licensors, 
Nozomi Entertainment","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         ComedyComedy,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary,         SpaceSpace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.701 (scored by 2151321,513 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/16168/Kidou_Senshi_Gundam_ZZ, Prequel:: /anime/85/Kidou_Senshi_Zeta_Gundam, Sequel:: /anime/87/Kidou_Senshi_Gundam__Gyakushuu_no_Char, Side story:: /anime/9708/Kidou_Senshi_Gundam_ZZ__Gundam_Frag, Summary:: /anime/14007/Akai_Shouzou__Char_Soshite_Frontal_e"
589,Hokuto no Ken,Genshi Shounen Ryuu,Wolf's Rain,Gamba no Bouken,Saint Seiya,"Arano no Sakebi Koe: Hoero, Buck",Shiroi Kiba White Fang Monogatari,Golden Kamuy,Uchuu Kaizoku Captain Herlock,Tibet Inu Monogatari,"Katsumata, Tomoharu:Director","Nishizawa, Nobutaka:Episode Director","Hiroshima, Hideki:Episode Director","Akehi, Masayuki:Episode Director",Ginga Nagareboshi Gin,#601,#4218,"27,118",19,3,1,"['Katsumata, Tomoharu', 'Director'], ['Nishizawa, Nobutaka', 'Episode Director'], ['Hiroshima, Hideki', 'Episode Director'], ['Akehi, Masayuki', 'Episode Director']","Type, 
TV","Episodes, 
  21","Status, 
  Finished Airing","Aired, 
  Apr 7, 1986 to Aug 22, 1986","Producers, 
TV Asahi","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama","Theme, 
AnthropomorphicAnthropomorphic","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/4945/Ginga_Nagareboshi_Gin, Sequel:: /anime/915/Ginga_Densetsu_Weed"
2224,Aishite Knight,Kaleido Star,Glass no Kamen,Kimagure Orange☆Road,Kamikaze Kaitou Jeanne,Ginban Kaleidoscope,Aikatsu!,,,,"Yoshida, Kenji:Producer","Mochizuki, Tomomi:Director","Sadamitsu, Shinya:Episode Director","Hirano, Yasushi:Script",Hikari no Densetsu,#5531,#7975,"5,709",2,1,0,"['Yoshida, Kenji', 'Producer'], ['Mochizuki, Tomomi', 'Director'], ['Sadamitsu, Shinya', 'Episode Director'], ['Hirano, Yasushi', 'Script']","Type, 
TV","Episodes, 
  19","Status, 
  Finished Airing","Aired, 
  May 3, 1986 to Sep 20, 1986","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Tatsunoko Production","Source, 
  Manga","Genres, 
RomanceRomance,         SportsSports","Theme, 
MusicMusic","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  PG - Children",Adaptation:: /manga/11021/Hikari_no_Densetsu
3660,Mahou no Stage Fancy Lala,Kodomo no Omocha (TV),Hana no Mahoutsukai Mary Bell,,,,,,,,"Shigino, Akira:Director","Fujiyama, Fusanobu:Sound Director","Katayama, Kazuyoshi:Episode Director","Kagawa, Yutaka:Episode Director",Mahou no Idol Pastel Yumi,#6058,#9543,"3,398",1,1,0,"['Shigino, Akira', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Katayama, Kazuyoshi', 'Episode Director'], ['Kagawa, Yutaka', 'Episode Director']","Type, 
TV","Episodes, 
  25","Status, 
  Finished Airing","Aired, 
  Mar 7, 1986 to Aug 29, 1986","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Pierrot","Source, 
  Original","Genres, 
ComedyComedy,         FantasyFantasy","Theme, 
Mahou ShoujoMahou Shoujo","Duration, 
  23 min. per ep.","Rating, 
  G - All Ages","Score, 
6.631 (scored by 855855 users)
      


1
          indicates a weighted score.",Spin-off:: /anime/2080/Majokko_Club_Yoningumi__A_Kuukan_kara_no_Alien_X
4723,Aoi Bungaku Series,,,,,,,,,,"Kurokawa, Fumio:Director","Suda, Yumiko:Episode Director","Morita, Hiromitsu:Episode Director","Miyazaki, Akira:Script",Seishun Anime Zenshuu,#5900,#10888,"2,212",0,0,0,"['Kurokawa, Fumio', 'Director'], ['Suda, Yumiko', 'Episode Director'], ['Morita, Hiromitsu', 'Episode Director'], ['Miyazaki, Akira', 'Script']","Type, 
TV","Episodes, 
  32","Status, 
  Finished Airing","Aired, 
  Apr 25, 1986 to Dec 26, 1986","Producers, 
    None found, add some","Licensors, 
Central Park Media","Studios, 
Nippon Animation","Source, 
  Other","Genres, 
DramaDrama,         RomanceRomance","Theme, 
HistoricalHistorical","Duration, 
  26 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.661 (scored by 312312 users)
      


1
          indicates a weighted score.","Alternative version:: /anime/4680/Bocchan, Sequel:: /anime/32897/Seishun_Anime_Zenshuu_Specials"
4083,Pokemon,,,,,,,,,,"Nakamura, Ryuutarou:Episode Director","Tominaga, Tsuneo:Episode Director","Dezaki, Tetsu:Episode Director","Arihara, Seiji:Episode Director",Wonder Beat Scramble,#6214,#12628,"1,222",0,0,0,"['Nakamura, Ryuutarou', 'Episode Director'], ['Tominaga, Tsuneo', 'Episode Director'], ['Dezaki, Tetsu', 'Episode Director'], ['Arihara, Seiji', 'Episode Director']","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 16, 1986 to Nov 19, 1986","Premiered, 
Spring 1986","Licensors, 
    None found, add some","Studios, 
Mushi Production","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  22 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.601 (scored by 348348 users)
      


1
          indicates a weighted score.","Ranked, 
  #62142

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",
3433,,,,,,,,,,,,,,,Go-Q-Choji Ikkiman,#6109,#13024,"1,086",0,0,0,,"Type, 
TV","Episodes, 
  32","Status, 
  Finished Airing","Aired, 
  Apr 13, 1986 to Nov 23, 1986","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
Sci-FiSci-Fi,         SportsSports","Theme, 
Team SportsTeam Sports","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
6.621 (scored by 331331 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/149360/Go-Q-Choji_Ikkiman
6731,,,,,,,,,,,,,,,Ultraman Kids no Kotowaza Monogatari,#8019,#13677,910,0,0,0,,"Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 16, 1986 to Nov 19, 1986","Premiered, 
Spring 1986","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Other","Genre, 
ComedyComedy","Theme, 
Super PowerSuper Power","Demographic, 
KidsKids","Duration, 
  7 min. per ep.","Rating, 
  PG - Children","Score, 
6.281 (scored by 281281 users)
      


1
          indicates a weighted score.","Other:: /anime/10909/Ultraman_Kids__M78_Sei_no_Yukai_na_Nakama, Alternative setting:: /anime/30122/Ultraman_M78_Gekijou__Love_and_Peace"
10137,,,,,,,,,,,,,,,Manga Naruhodo Monogatari,#16107,#16710,427,0,0,0,,"Episodes, 
  102","Status, 
  Finished Airing","Aired, 
  Apr 5, 1986 to Mar 26, 1988","Premiered, 
Spring 1986","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Unknown","Genre, 
AdventureAdventure","Theme, 
EducationalEducational","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Prequel:: /anime/10136/Manga_Doushite_Monogatari, Sequel:: /anime/37714/Shin_Manga_Naruhodo_Monogatari"
30129,,,,,,,,,,,,,,,Konna Ko Iru kana,#15642,#19099,260,0,0,0,,"Status, 
  Finished Airing","Aired, 
  Apr 1986 to Mar 1991","Premiered, 
Spring 1986","Broadcast, 
    Unknown","Studios, 
    None found, add some","Source, 
  Unknown","Demographic, 
KidsKids","Duration, 
  1 min.","Rating, 
  PG - Children","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  #156422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #19099","Members, 
    260",
1935,Bubblegum Crisis,Freedom,Venus Senki,Area 88,Zegapain,Macross Flash Back 2012,Grey: Digital Target,California Crisis: Tsuigeki no Juuka,The Animatrix,Sidonia no Kishi,"Ishiguro, Noboru:Director","Itano, Ichirou:Director","Aramaki, Shinji:Director","Yatagai, Kenichi:Director",Megazone 23,#5268,#4635,"21,876",10,2,2,"['Ishiguro, Noboru', 'Director'], ['Itano, Ichirou', 'Director'], ['Aramaki, Shinji', 'Director'], ['Yatagai, Kenichi', 'Director']","Type, 
OVA","Episodes, 
  4","Status, 
  Finished Airing","Aired, 
  Mar 9, 1985 to Dec 22, 1989","Studios, 
Artland,       AIC,       Artmic","Source, 
  Original","Genres, 
ActionAction,         MysteryMystery,         RomanceRomance,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MusicMusic","Duration, 
  1 hr. 7 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.771 (scored by 54455,445 users)
      


1
          indicates a weighted score.","Ranked, 
  #52682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #4635",
1285,Violence Jack: Harem Bomber-hen,Genocyber,Blue Gender,Highlander: The Search for Vengeance,Kakugo no Susume,Akame ga Kill!,Golgo 13,Vampire Sensou,Angel Cop,Hametsu no Mars,"Oohata, Kouichi:Director","Mima, Masafumi:Sound Director","Hiroshima, Hideki:Episode Director","Sanjou, Riku:Script",Soukihei MD Geist,#11959,#5152,"16,922",14,2,10,"['Oohata, Kouichi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Hiroshima, Hideki', 'Episode Director'], ['Sanjou, Riku', 'Script']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  May 21, 1986","Studios, 
Zero-G Room,       Production Wave","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Themes, 
Adult CastAdult Cast,         GoreGore,         MechaMecha,         MilitaryMilitary","Duration, 
  44 min.","Rating, 
  R+ - Mild Nudity","Score, 
5.331 (scored by 78687,868 users)
      


1
          indicates a weighted score.","Ranked, 
  #119592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5152",Sequel:: /anime/1286/Soukihei_MD_Geist_2__Death_Force
1341,Soukihei MD Geist,Tokyo Tribe 2,Kenpuu Denki Berserk,Devilman: Tanjou-hen,Devilman: Yochou Sirene-hen,Amon: Devilman Mokushiroku,Btooom!,Elfen Lied,Kaze no Tairiku,Soukihei MD Geist 2: Death Force,"Yoshida, Naotaka:Producer","Kamijou, Osamu:Director","Aikawa, Shou:Script","Wolskel, John:Script",Violence Jack: Harem Bomber-hen,#12230,#5666,"13,268",3,5,11,"['Yoshida, Naotaka', 'Producer'], ['Kamijou, Osamu', 'Director'], ['Aikawa, Shou', 'Script'], ['Wolskel, John', 'Script']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jun 5, 1986","Studios, 
Ashi Productions","Source, 
  Manga","Genres, 
ActionAction,         DramaDrama,         HorrorHorror","Theme, 
GoreGore","Duration, 
  37 min.","Rating, 
  R+ - Mild Nudity","Score, 
5.201 (scored by 61626,162 users)
      


1
          indicates a weighted score.","Ranked, 
  #122302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5666","Adaptation:: /manga/1442/Violence_Jack, Sequel:: /anime/1342/Violence_Jack__Jigoku_Gai-hen, Prequel:: /anime/2252/Devilman, Other:: /anime/2692/CB_Chara_Go_Nagai_World"
3787,Project A-Ko,Shadow Skill (1996),Project A-Ko 4: Final,MAPS: Densetsu no Samayoeru Seijin-tachi,Dirty Pair,Ten Little Gall Force,A-Ko The Versus,Time Slip Ichimannen: Prime Rose,,,"Katayama, Kazuyoshi:Director","Takahashi, Motosuke:Director","Takayashiki, Hideo:Script","Nitta, Ichirou:Theme Song Arrangement",The Supergal,#9851,#8567,"4,757",2,2,2,"['Katayama, Kazuyoshi', 'Director'], ['Takahashi, Motosuke', 'Director'], ['Takayashiki, Hideo', 'Script'], ['Nitta, Ichirou', 'Theme Song Arrangement']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jun 5, 1986","Studios, 
Pierrot","Source, 
  Manga","Genres, 
ComedyComedy,         Sci-FiSci-Fi","Theme, 
Super PowerSuper Power","Duration, 
  48 min.","Rating, 
  R+ - Mild Nudity","Score, 
5.911 (scored by 20212,021 users)
      


1
          indicates a weighted score.","Ranked, 
  #98512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8567","Adaptation:: /manga/10810/Rumic_World, Other:: /anime/2018/Warau_Hyouteki"
6800,,,,,,,,,,,"Fukuta, Jun:Episode Director","Shimonari, Satoko:Theme Song Performance","Kawamori, Shouji:Mechanical Design","Hayama, Junichi:Key Animation",Transformers: Scramble City,#10659,#10763,"2,300",0,2,0,"['Fukuta, Jun', 'Episode Director'], ['Shimonari, Satoko', 'Theme Song Performance'], ['Kawamori, Shouji', 'Mechanical Design'], ['Hayama, Junichi', 'Key Animation']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Apr 1986","Producers, 
Takara","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  23 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.721 (scored by 10401,040 users)
      


1
          indicates a weighted score.","Ranked, 
  #106592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10763","Members, 
    2,300",
2256,,,,,,,,,,,"Okuda, Seiji:Director","Fujikawa, Keisuke:Script","Terada, Kenji:Script","Yamamoto, Yuriko:Theme Song Performance",Choujuu Kishin Dancougar: Ushinawareta Mono-tachi e no Requiem,#8387,#11448,"1,829",1,1,0,"['Okuda, Seiji', 'Director'], ['Fujikawa, Keisuke', 'Script'], ['Terada, Kenji', 'Script'], ['Yamamoto, Yuriko', 'Theme Song Performance']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Apr 21, 1986","Studios, 
Production Reed","Source, 
  Original","Genres, 
ActionAction,         DramaDrama","Theme, 
MechaMecha","Duration, 
  1 hr. 20 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.211 (scored by 626626 users)
      


1
          indicates a weighted score.","Ranked, 
  #83872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11448","Prequel:: /anime/2255/Choujuu_Kishin_Dancougar, Sequel:: /anime/5266/Choujuu_Kishin_Dancougar__God_Bless_Dancougar"
5002,Kaze wo Nuke!,,,,,,,,,,"Kamimura, Osamu:Director","Oginome, Youko:Theme Song Performance","Funayama, Motoki:Theme Song Arrangement","Shigeno, Shuuichi:Original Creator",Bari Bari Densetsu,#6353,#11574,"1,752",1,0,0,"['Kamimura, Osamu', 'Director'], ['Oginome, Youko', 'Theme Song Performance'], ['Funayama, Motoki', 'Theme Song Arrangement'], ['Shigeno, Shuuichi', 'Original Creator']","Episodes, 
  2","Status, 
  Finished Airing","Aired, 
  May 10, 1986 to Dec 16, 1986","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         DramaDrama","Theme, 
RacingRacing","Demographic, 
ShounenShounen","Duration, 
  52 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.571 (scored by 393393 users)
      


1
          indicates a weighted score.","Ranked, 
  #63532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11574","Adaptation:: /manga/9855/Baribari_Densetsu, Summary:: /anime/12745/Bari_Bari_Densetsu_1987"
8324,,,,,,,,,,,"Yamamoto, Eiichi:Director","Sasaji, Masanori:Music","Nakayama, Katsuichi:Key Animation","Saga, Satoshi:Key Animation",Pelican Road Club Caroucha,#10819,#13841,871,1,0,0,"['Yamamoto, Eiichi', 'Director'], ['Sasaji, Masanori', 'Music'], ['Nakayama, Katsuichi', 'Key Animation'], ['Saga, Satoshi', 'Key Animation']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jun 21, 1986","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
DramaDrama,         RomanceRomance","Demographic, 
ShounenShounen","Duration, 
  55 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.681 (scored by 245245 users)
      


1
          indicates a weighted score.","Ranked, 
  #108192

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #13841","Members, 
    871",
33358,,,,,,,,,,,"Arai, Kiyoko:Original Creator",,,,Mahou no Star Magical Emi: Finale! Finale!,#7942,#14647,684,0,0,0,"['Arai, Kiyoko', 'Original Creator']","Status, 
  Finished Airing","Aired, 
  May 25, 1986","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genre, 
ComedyComedy","Theme, 
Mahou ShoujoMahou Shoujo","Duration, 
  17 min.","Rating, 
  G - All Ages","Score, 
6.301 (scored by 155155 users)
      


1
          indicates a weighted score.","Ranked, 
  #79422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14647","Members, 
    684","Favorites, 
  0",Full story:: /anime/2038/Mahou_no_Star_Magical_Emi
